feature,gain_sum,rank
GATS4p,61.037647342542186,585
MATS4m,60.718192340107635,586
SlogP_VSA4,60.51806197769474,587
AETA_beta,60.36763737909496,588
ATS8m,60.322243289323524,589
MATS2i,60.07203507772647,590
ATSC8se,60.07169874664396,591
AATS1are,59.90669968049042,592
VE2_A,59.901688979938626,593
SRW08,59.84141086740419,594
Xp-6d,59.833699943032116,595
MATS7Z,59.73538108577486,596
plddt_protein_mean,59.59682230243925,597
MATS5dv,59.49805729382206,598
ATSC1c,59.481282885186374,599
ZMIC5,59.444838440278545,600
MDEC-12,59.3589667363558,601
ATSC8s,59.07756365276873,602
ATS1i,59.00261155329645,603
EState_VSA5,58.97516452986747,604
ATSC7pe,58.92286065011285,605
SsF,58.79185882816091,606
MATS5i,58.754392798407935,607
AATS1se,58.534013415686786,608
SpMAD_Dzpe,58.533640042180195,609
ATSC5Z,58.32765742391348,610
AATS7p,58.24764749791939,611
pae_protein_ligand_mean,58.175225373357534,612
AATS5pe,57.94778104079887,613
AATS3d,57.78451964026317,614
AATS7i,57.72863135649823,615
GATS8are,57.61642029392533,616
ATS4i,57.56679556891322,617
n6HRing,57.46219346486032,618
PEOE_VSA11,57.43949706398416,619
fMF,57.42972368898336,620
MAXssCH2,57.24307156458963,621
ATSC3pe,57.21214895369485,622
AATSC8s,57.11575620388612,623
AATS5are,57.06138187786564,624
SaasN,57.014400634681806,625
MAXssNH,56.999900463502854,626
MATS7s,56.73278199555352,627
AATS7d,56.69856725796126,628
MATS4se,56.66156799905002,629
ATS0i,56.55440899729729,630
ATSC4se,56.42820819513872,631
SssNH,56.22714555542916,632
SMR_VSA1,56.21599606657401,633
ETA_beta,56.09960555122234,634
VMcGowan,55.812283063074574,635
ATS7i,55.778599948389456,636
GATS2m,55.678198627661914,637
GATS7Z,55.5686066232156,638
AATSC1m,55.44881711306516,639
ETA_shape_p,55.257963693351485,640
ATS8pe,55.13628515065648,641
ATSC3Z,55.1090737413615,642
SIC3,55.08372305496596,643
MDEC-22,55.029584698495455,644
BCUTpe-1l,54.98658301262185,645
AATSC6s,54.94583132350817,646
TpiPC10,54.886670818552375,647
WPath,54.829159210436046,648
MIC1,54.6845772061497,649
AATS4p,54.6379651640309,650
plddt_pocket_std,54.548335716011934,651
MATS2c,54.44226122228429,652
ATS8s,54.428397409268655,653
MATS1p,54.3395460951142,654
ETA_epsilon_4,54.25944410637021,655
AXp-2d,54.144331083865836,656
ATSC6i,54.080958591541275,657
SRW10,54.02680444973521,658
AATSC3Z,53.98762411496136,659
SMR,53.86911728838459,660
AATSC0d,53.798261190531775,661
AATSC5Z,53.743895762367174,662
MATS1d,53.71232326119207,663
MATS6v,53.684059515362605,664
MATS3c,53.549210610101,665
BertzCT,53.413846687064506,666
MDEO-12,53.386918775970116,667
MATS8i,53.376184846507385,668
MATS5v,53.30406444100663,669
AATS6p,53.26966361445375,670
CIC5,53.22909007943235,671
GATS2Z,53.177239909768105,672
MATS2m,53.128395170206204,673
MATS3m,53.09753294219263,674
AATS3s,52.90869341418147,675
PEOE_VSA3,52.855702097993344,676
SpMAD_Dzp,52.658506648615,677
GATS1dv,52.616108984453604,678
GATS3pe,52.60299154277891,679
AETA_eta_L,52.541365648387,680
ATS0pe,52.498874904587865,681
AATSC7d,52.402521449606866,682
MATS7v,51.90457962616347,683
piPC4,51.73590300162323,684
ATSC8pe,51.687991762999445,685
plddt_res285,51.63401069107931,686
AATS0d,51.440730390837416,687
MATS1Z,51.198074385523796,688
VR3_A,51.05857354402542,689
ATS1p,50.98070942284539,690
ATSC6dv,50.957771487068385,691
AATSC0s,50.457283271476626,692
SssCH2,50.37747108563781,693
MATS3se,50.32928236317821,694
PEOE_VSA12,50.0916480794549,695
ATS1dv,49.91530340583995,696
SpDiam_Dt,49.85537839541212,697
ATS3d,49.70402444433421,698
AATSC8i,49.57813171832822,699
MWC09,49.54106746427715,700
GATS4are,49.53721718257293,701
n6AHRing,49.438611567020416,702
AATSC0i,49.36205785442144,703
Xpc-4d,49.2779255816713,704
ATS3se,49.26083380263299,705
IC0,49.20731286238879,706
ATS6se,49.187420159811154,707
ATS3s,48.90649687219411,708
ATS5pe,48.86669445550069,709
GATS3m,48.850563361891545,710
AXp-6dv,48.56862172088586,711
GATS5p,48.56252052378841,712
MATS7pe,48.5582848819904,713
MATS1are,48.50327751552686,714
AATSC7p,48.45845820102841,715
ATSC4pe,48.320380265591666,716
MATS6p,48.23521600943059,717
ATS0dv,48.066499070380814,718
ATSC6pe,47.81023767928127,719
ZMIC0,47.72515657602344,720
ETA_psi_1,47.655840028543025,721
MIC2,47.50823137536645,722
SIC5,47.496172779705375,723
AATSC2Z,47.49188258009963,724
plddt_res211,47.47477222699672,725
MATS4i,47.093151374021545,726
AATSC8dv,46.97041027061641,727
AATSC7i,46.80571476346813,728
MPC8,46.538924034219235,729
ETA_eta_B,46.49323786259629,730
AATSC1Z,46.473480550106615,731
CIC3,46.426467219600454,732
MAXsOH,45.986045447411016,733
Xp-7dv,45.68715409678407,734
AATSC1s,45.6639223434031,735
ATS3v,45.580384518019855,736
GATS8se,45.52333098091185,737
ATSC0s,45.19063152582385,738
VE3_A,45.05493478057906,739
ATS1s,44.978304613614455,740
AATSC4se,44.919624587288126,741
MATS4Z,44.41666159685701,742
BCUTs-1h,44.3303900915198,743
AATS7dv,44.321450946619734,744
AXp-3dv,44.27907000866253,745
C2SP2,44.267243838403374,746
C3SP2,44.23742820508778,747
AATSC5s,44.153043693397194,748
MW,43.877535916049965,749
ATSC4v,43.825698838802055,750
ATS5se,43.80484453774989,751
AATSC4i,43.634947947459295,752
AATSC2s,43.54811313422397,753
MATS7dv,43.53002329112496,754
ATSC6se,43.44237541873008,755
nBase,43.42590006813407,756
AATSC0Z,43.19008731958456,757
AATS5d,43.02239373908378,758
Xp-3d,42.73607011605054,759
MINsssN,42.691579896607436,760
Kier1,42.66641713026911,761
MATS4v,42.46825952711515,762
MATS3v,42.457931389217265,763
AATSC7se,42.411065669264644,764
AATS0p,42.349683629581705,765
ATS3p,42.343482430209406,766
naHRing,42.31455922778696,767
MATS4pe,42.21842590509914,768
BCUTm-1h,42.157452169805765,769
MATS8pe,42.147896621376276,770
AETA_eta_RL,42.11202608759049,771
ATS4dv,42.10248085716739,772
AATSC6v,42.03817820060067,773
piPC3,41.97573265526444,774
SlogP_VSA6,41.9057823328767,775
AATS7v,41.88978409115225,776
ATS2i,41.8199557979824,777
ATSC0pe,41.69068636465818,778
AETA_eta_F,41.57983033056371,779
AATSC2c,41.55964475357905,780
GATS4m,41.47215670533478,781
ATS3dv,41.41115887637716,782
BCUTv-1h,41.36695398273878,783
VR2_Dt,41.279508841224015,784
AXp-0d,41.002581850625575,785
MATS2v,40.98043822089676,786
Kier3,40.925840969895944,787
AATS2d,40.89431958482601,788
JGI1,40.89430019224528,789
ATS4pe,40.847311394289136,790
AXp-5dv,40.77148186368868,791
ATS8v,40.684366188710555,792
MPC7,40.648008544463664,793
MATS1m,40.63977865129709,794
AATSC6dv,40.58314692485146,795
AATS7se,40.33776174648665,796
MATS4p,40.263413780834526,797
MATS5p,40.26202696701512,798
MATS5are,40.22951927478425,799
plddt_res306,40.10189955565147,800
VR1_A,40.06631867331453,801
AATS1pe,39.98120481451042,802
plddt_pocket_max,39.9213040471077,803
SlogP_VSA1,39.78505094908178,804
AATSC3se,39.69441465602722,805
GATS6m,39.67211161146406,806
AXp-4dv,39.66162564745173,807
AXp-1dv,39.65816204342991,808
ETA_dBeta,39.65084364823997,809
ATSC0m,39.590482358122244,810
MDEC-14,39.54862725920975,811
SpDiam_Dzi,39.51900288276374,812
AATS5m,39.21519724209793,813
nHBDon,39.16301845293492,814
AETA_dBeta,39.09006317798048,815
