inchikey,smiles,mol_chembl_id,chembl_pxr_pchembl,n_chembl_pxr_rows,assays,overlaps_challenge_exact
OUNKWLWWQCCPIP-UHFFFAOYSA-N,Fc1ccccc1Oc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,CHEMBL3318965,5.96,1,CHEMBL3364417,False
OWEBVLUQSSGDRX-UAVUOLJFSA-N,O=C(O)[C@H]1CC[C@H](C(=O)N2CC[C@](c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(Cl)cc3)C2)CC1,CHEMBL3917666,5.19,1,CHEMBL4339771,False
OWXOLWIOYFIMBU-UHFFFAOYSA-N,COc1ccc(OC)c(-c2nc(C)c(S(=O)(=O)c3ccc(C(C)(C)C)cc3)[nH]2)c1,CHEMBL4860556,5.22,1,CHEMBL4834541,False
PEHYFVRCRZKMOD-LJAQVGFWSA-N,CC(=O)N1CC(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)C1,CHEMBL4784178,5.94,1,CHEMBL4701268,False
PIUANHUFEHCJIG-UHFFFAOYSA-N,COc1ccc(C)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1N,CHEMBL4873947,6.8,1,CHEMBL4834541,False
PJMPHNIQZUBGLI-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CHEMBL596,4.5,2,"CHEMBL3531531,CHEMBL3531532",False
PMEILICYJRXCEI-MRXNPFEDSA-N,Cc1ccc(-c2cc(C(=O)N[C@H](C)c3ccc(F)cn3)cc(-c3ncccc3F)c2)nc1,CHEMBL2324351,5.22,1,CHEMBL4222599,False
PNVISBSJOVSMIK-UHFFFAOYSA-N,Clc1ccc(C2(c3nnc4c(Oc5ccccc5Cl)cccn34)CC2)cc1,CHEMBL3318962,6.01,1,CHEMBL3364417,False
PPYHLSBUTAPNGT-BKWLFHPQSA-N,CC(C)CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL3189011,4.525,2,"CHEMBL3531531,CHEMBL3531532",False
PSNZDXCQJULFRM-MHPIHPPYSA-N,Cc1ccc(S(=O)(=O)[C@@]2(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)CCN(C(=O)[C@H]3CC[C@H](C(=O)O)CC3)C2)cc1,CHEMBL3985767,4.9,1,CHEMBL4339771,False
PVWQXJAEVDVYLP-UHFFFAOYSA-N,Clc1ccc(C2(c3nnc4c(Oc5ccccc5-c5ccccc5)cccn34)CC2)cc1,CHEMBL3318970,6.3,1,CHEMBL3364417,False
PYINNISTIKTCGH-UHFFFAOYSA-N,CCOc1ncc(-c2cccc(N(CC34CCC(c5noc(C(F)F)n5)(CC3)CC4)C(=O)C34CC(F)(C3)C4)c2)cn1,CHEMBL5189617,5.7,1,CHEMBL5148492,False
QFJCIRLUMZQUOT-HPLJOQBZSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL413,5.0,1,CHEMBL3531532,False
QFORCMNTWWLBOW-UHFFFAOYSA-N,COc1ccc(Cl)cc1-c1ncc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1C,CHEMBL4877373,5.92,1,CHEMBL4834541,False
QGMGHALXLXKCBD-UHFFFAOYSA-N,Nc1ccc(C(=O)Nc2ccccc2N)cc1,CHEMBL1351761,4.55,1,CHEMBL3531531,False
QGTKIIILYWEZDX-UHFFFAOYSA-N,O=S(=O)(c1ccc(F)cc1)C1(c2ccc(C(OCc3ccccc3)(C(F)(F)F)C(F)(F)F)cc2)CCCC1,CHEMBL4781699,6.11,1,CHEMBL4701268,False
QHHUTGUKHPGDBA-UHFFFAOYSA-N,OCc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,CHEMBL4563301,4.6,1,CHEMBL4329690,False
QJQIXZIPDHUXKU-HKBQPEDESA-N,CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4C#N)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,CHEMBL3902725,5.91,1,CHEMBL4701268,False
QKBOGWLTELXFIN-LJAQVGFWSA-N,O=C(C1CCOCC1)N1CC[C@](c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,CHEMBL3962504,4.82,1,CHEMBL4701268,False
