feature,src,gain,gain_frac,cum_gain,split
mordred:AXp-7d,mordred,12.815324038267136,0.0003066760934504282,0.9150370766504878,8
mordred:AXp-2d,mordred,12.79916998744011,0.0003062895202208915,0.9153433661707088,10
mordred:SMR_VSA4,mordred,12.66635513305664,0.00030311120490300456,0.9156464773756118,10
mordred:MATS3s,mordred,12.637621223926544,0.00030242359037408085,0.9159489009659859,10
mordred:GGI10,mordred,12.58033612370491,0.00030105273383573437,0.9162499536998217,9
mordred:MATS7d,mordred,12.535804212093353,0.00029998706646391205,0.9165499407662856,6
mordred:CIC3,mordred,12.527422070503235,0.00029978647829072736,0.9168497272445764,6
mordred:ECIndex,mordred,12.512353837490082,0.00029942588913809445,0.9171491531337145,5
mordred:GATS2dv,mordred,12.501494944095612,0.0002991660312526858,0.9174483191649672,4
mordred:ATS2Z,mordred,12.481860041618347,0.00029869615977936003,0.9177470153247466,4
mordred:SpMAD_Dzare,mordred,12.442113190889359,0.00029774500092671414,0.9180447603256733,9
mordred:AATSC4dv,mordred,12.41126997768879,0.0002970069098643606,0.9183417672355376,8
rdkit:SPS,rdkit,12.358864068984985,0.0002957528144308771,0.9186375200499685,8
mordred:ATSC8dv,mordred,12.335457980632782,0.00029519269689367124,0.9189327127468622,8
mordred:BIC3,mordred,12.329062134027481,0.00029503964159476774,0.9192277523884569,11
