compound,template_pdb,template_ccd,template_chain,mcs_atoms,posit_probability,posit_method,ca_rmsd,out_pdb,error
x03080-1,8CH8,ULC,A,7.0,0.23999999463558197,FRED,0.413663010884389,structures/boltz2_track2/redock_posit/x03080-1/x03080-1_posit.pdb,
x03094-1,6DUP,HCJ,A,11.0,0.51,SHAPEFIT,0.5804822672201746,structures/boltz2_track2/redock_posit/x03094-1/x03094-1_posit.pdb,
x03096-1,5X0R,4WH,A,8.0,0.17000000178813934,HYBRID,0.6366607273700762,structures/boltz2_track2/redock_posit/x03096-1/x03096-1_posit.pdb,
x03117-1,6TFI,N6H,B,9.0,0.009999999776482582,FRED,0.5819907268804642,structures/boltz2_track2/redock_posit/x03117-1/x03117-1_posit.pdb,
x03123-1,2O9I,444,A,11.0,0.18000000715255737,HYBRID,0.7189816875784201,structures/boltz2_track2/redock_posit/x03123-1/x03123-1_posit.pdb,
x03145-1,2O9I,444,A,10.0,0.14000000059604645,HYBRID,0.708273445934748,structures/boltz2_track2/redock_posit/x03145-1/x03145-1_posit.pdb,
x03147-1,2O9I,444,A,10.0,0.019999999552965164,FRED,0.7515700817569632,structures/boltz2_track2/redock_posit/x03147-1/x03147-1_posit.pdb,
x03152-1,6TFI,N6H,B,9.0,0.009999999776482582,FRED,0.7828694209353494,structures/boltz2_track2/redock_posit/x03152-1/x03152-1_posit.pdb,
x03161-1,1NRL,SRL,A,12.0,0.23999999463558197,FRED,0.5940761998336747,structures/boltz2_track2/redock_posit/x03161-1/x03161-1_posit.pdb,
x03172-1,7AXD,S6W,A,8.0,0.18000000715255737,HYBRID,0.39383443813691427,structures/boltz2_track2/redock_posit/x03172-1/x03172-1_posit.pdb,
x03179-1,6S41,KUB,A,9.0,0.14000000059604645,HYBRID,0.6366326030910275,structures/boltz2_track2/redock_posit/x03179-1/x03179-1_posit.pdb,
x03191-1,7AXC,27H,A,9.0,0.18000000715255737,HYBRID,0.49395594800260223,structures/boltz2_track2/redock_posit/x03191-1/x03191-1_posit.pdb,
x03194-1,5A86,D7E,A,13.0,0.17000000178813934,HYBRID,0.6540584913437091,structures/boltz2_track2/redock_posit/x03194-1/x03194-1_posit.pdb,
x03204-1,5A86,D7E,A,12.0,0.23999999463558197,FRED,0.5932739551517063,structures/boltz2_track2/redock_posit/x03204-1/x03204-1_posit.pdb,
x03219-1,2O9I,444,A,11.0,0.25,SHAPEFIT,0.7833011073521294,structures/boltz2_track2/redock_posit/x03219-1/x03219-1_posit.pdb,
x03220-1,2O9I,444,A,16.0,0.18000000715255737,HYBRID,0.7235502934262557,structures/boltz2_track2/redock_posit/x03220-1/x03220-1_posit.pdb,
x03223-1,1NRL,SRL,A,6.0,0.05000000074505806,FRED,0.6149992036575314,structures/boltz2_track2/redock_posit/x03223-1/x03223-1_posit.pdb,
x03234-1,2O9I,444,A,11.0,0.019999999552965164,FRED,0.7194325108995265,structures/boltz2_track2/redock_posit/x03234-1/x03234-1_posit.pdb,
x03244-1,8EQZ,WQB,A,13.0,0.05000000074505806,FRED,0.693608274713345,structures/boltz2_track2/redock_posit/x03244-1/x03244-1_posit.pdb,
x03250-1,9FZG,A1IHA,A,12.0,,,,,receptor_build_failed
x03252-1,1NRL,SRL,A,6.0,0.05000000074505806,FRED,0.6101824831060667,structures/boltz2_track2/redock_posit/x03252-1/x03252-1_posit.pdb,
x03259-1,6HJ2,P06,A,8.0,0.23999999463558197,FRED,0.4249024492007599,structures/boltz2_track2/redock_posit/x03259-1/x03259-1_posit.pdb,
x03260-1,6DUP,HCJ,A,11.0,0.14000000059604645,HYBRID,0.6632568176757556,structures/boltz2_track2/redock_posit/x03260-1/x03260-1_posit.pdb,
x03264-1,3R8D,PNU,A,7.0,0.14000000059604645,HYBRID,0.8937931668953389,structures/boltz2_track2/redock_posit/x03264-1/x03264-1_posit.pdb,
x03271-1,6HJ2,P06,A,8.0,0.17000000178813934,HYBRID,0.3498426623795877,structures/boltz2_track2/redock_posit/x03271-1/x03271-1_posit.pdb,
x03273-1,9FZG,A1IHA,A,18.0,,,,,receptor_build_failed
x03279-1,8EQZ,WQB,A,8.0,0.05000000074505806,FRED,0.7574720223079559,structures/boltz2_track2/redock_posit/x03279-1/x03279-1_posit.pdb,
x03282-1,1NRL,SRL,A,6.0,0.05000000074505806,FRED,0.626071208918711,structures/boltz2_track2/redock_posit/x03282-1/x03282-1_posit.pdb,
x03297-1,7AXD,S6W,A,11.0,0.14000000059604645,HYBRID,0.3668891048149325,structures/boltz2_track2/redock_posit/x03297-1/x03297-1_posit.pdb,
x03306-1,1NRL,SRL,A,6.0,0.05000000074505806,FRED,0.6001619730610025,structures/boltz2_track2/redock_posit/x03306-1/x03306-1_posit.pdb,
