compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,skipped,error
x00652-1,15,4NY9,2Q4,8.0,0.5333333333333333,boltz_model_1,5.794844943945191,,
x00652-1,15,4NY9,2Q4,8.0,0.5333333333333333,boltz_model_2,5.7787278266381845,,
x00652-1,15,4NY9,2Q4,8.0,0.5333333333333333,boltz_model_3,5.481841875030037,,
x00652-1,15,4NY9,2Q4,8.0,0.5333333333333333,boltz_model_4,5.787852895085676,,
x00652-1,15,4NY9,2Q4,8.0,0.5333333333333333,gnina_refined,5.606634898900524,,
x00652-1,15,4NY9,2Q4,8.0,0.5333333333333333,template_transferred,0.05778594520252716,,
x00664-1,15,,,,,,,mcs_below_threshold,
x00674-1,15,,,,,,,mcs_below_threshold,
x00714-1,18,,,,,,,mcs_below_threshold,
x00720-1,16,1M13,HYF,9.0,0.5625,boltz_model_0,6.0286604115776905,,
x00720-1,16,1M13,HYF,9.0,0.5625,boltz_model_1,5.371603861104042,,
x00720-1,16,1M13,HYF,9.0,0.5625,boltz_model_2,5.266544591220413,,
x00720-1,16,1M13,HYF,9.0,0.5625,boltz_model_3,6.002270850139992,,
x00720-1,16,1M13,HYF,9.0,0.5625,boltz_model_4,6.089318683889336,,
x00720-1,16,1M13,HYF,9.0,0.5625,gnina_refined,6.237833110214931,,
x00720-1,16,1M13,HYF,9.0,0.5625,template_transferred,0.33644657086544744,,
x00753-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_0,6.612649376989856,,
x00753-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_1,6.535513093185405,,
x00753-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_2,6.678869467077659,,
x00753-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_3,6.19236809617349,,
x00753-1,19,9BEQ,AP1,10.0,0.5263157894736842,boltz_model_4,5.984002707898618,,
x00753-1,19,9BEQ,AP1,10.0,0.5263157894736842,gnina_refined,6.706350104378898,,
x00753-1,19,9BEQ,AP1,10.0,0.5263157894736842,template_transferred,0.03991242230369341,,
x00757-1,15,2O9I,444,10.0,0.6666666666666666,boltz_model_0,3.8977414463537015,,
x00757-1,15,2O9I,444,10.0,0.6666666666666666,boltz_model_1,3.7716709337618033,,
x00757-1,15,2O9I,444,10.0,0.6666666666666666,boltz_model_2,3.808539531034095,,
x00757-1,15,2O9I,444,10.0,0.6666666666666666,boltz_model_3,3.82623540202032,,
x00757-1,15,2O9I,444,10.0,0.6666666666666666,boltz_model_4,3.8904991638030286,,
x00757-1,15,2O9I,444,10.0,0.6666666666666666,gnina_refined,3.7427976383532116,,
x00757-1,15,2O9I,444,10.0,0.6666666666666666,template_transferred,0.09421864535751019,,
x00773-1,14,,,,,,,mcs_below_threshold,
x00794-1,16,1M13,HYF,8.0,0.5,boltz_model_0,5.735716770459443,,
x00794-1,16,1M13,HYF,8.0,0.5,boltz_model_1,6.325593045558349,,
x00794-1,16,1M13,HYF,8.0,0.5,boltz_model_2,6.066765335957936,,
x00794-1,16,1M13,HYF,8.0,0.5,boltz_model_3,6.213102849296348,,
x00794-1,16,1M13,HYF,8.0,0.5,boltz_model_4,6.136095873068108,,
x00794-1,16,1M13,HYF,8.0,0.5,gnina_refined,6.116748378808173,,
x00794-1,16,1M13,HYF,8.0,0.5,template_transferred,0.18651229416106602,,
x00819-1,16,,,,,,,mcs_below_threshold,
x00913-1,15,,,,,,,mcs_below_threshold,
x00979-1,14,5X0R,4WH,9.0,0.6428571428571429,boltz_model_0,9.74824493141778,,
x00979-1,14,5X0R,4WH,9.0,0.6428571428571429,boltz_model_1,9.864967623829651,,
x00979-1,14,5X0R,4WH,9.0,0.6428571428571429,boltz_model_2,9.949727768377121,,
x00979-1,14,5X0R,4WH,9.0,0.6428571428571429,boltz_model_3,9.493465745672662,,
x00979-1,14,5X0R,4WH,9.0,0.6428571428571429,boltz_model_4,9.640073128043925,,
x00979-1,14,5X0R,4WH,9.0,0.6428571428571429,gnina_refined,10.080256226638042,,
x00979-1,14,5X0R,4WH,9.0,0.6428571428571429,template_transferred,0.02991869933606814,,
x00981-1,12,,,,,,,mcs_below_threshold,
x00982-1,14,2O9I,444,12.0,0.8571428571428571,boltz_model_0,6.214805788558094,,
x00982-1,14,2O9I,444,12.0,0.8571428571428571,boltz_model_1,6.408927682886319,,
x00982-1,14,2O9I,444,12.0,0.8571428571428571,boltz_model_2,6.484453227552258,,
x00982-1,14,2O9I,444,12.0,0.8571428571428571,boltz_model_3,6.012668508796083,,
x00982-1,14,2O9I,444,12.0,0.8571428571428571,boltz_model_4,6.152990130552785,,
x00982-1,14,2O9I,444,12.0,0.8571428571428571,gnina_refined,6.127968546872957,,
x00982-1,14,2O9I,444,12.0,0.8571428571428571,template_transferred,0.10654641905824076,,
x00990-1,13,7AXD,S6W,8.0,0.6153846153846154,boltz_model_0,0.8550353288078311,,
x00990-1,13,7AXD,S6W,8.0,0.6153846153846154,boltz_model_1,0.9898311146842911,,
x00990-1,13,7AXD,S6W,8.0,0.6153846153846154,boltz_model_2,0.9996123918970301,,
x00990-1,13,7AXD,S6W,8.0,0.6153846153846154,boltz_model_3,0.9079975533065986,,
x00990-1,13,7AXD,S6W,8.0,0.6153846153846154,boltz_model_4,0.8825140003986984,,
x00990-1,13,7AXD,S6W,8.0,0.6153846153846154,gnina_refined,0.7179477986572694,,
x00990-1,13,7AXD,S6W,8.0,0.6153846153846154,template_transferred,0.07584660964650819,,
x01009-1,15,8SVR,WT1,10.0,0.6666666666666666,boltz_model_0,10.001765607864499,,
x01009-1,15,8SVR,WT1,10.0,0.6666666666666666,boltz_model_1,10.110107766737412,,
x01009-1,15,8SVR,WT1,10.0,0.6666666666666666,boltz_model_2,10.066244285212564,,
x01009-1,15,8SVR,WT1,10.0,0.6666666666666666,boltz_model_3,10.057350480590577,,
x01009-1,15,8SVR,WT1,10.0,0.6666666666666666,boltz_model_4,10.221563343239943,,
x01009-1,15,8SVR,WT1,10.0,0.6666666666666666,gnina_refined,9.957354939998902,,
x01009-1,15,8SVR,WT1,10.0,0.6666666666666666,template_transferred,0.061370146163644085,,
x01016-1,15,,,,,,,mcs_below_threshold,
x01039-1,17,2O9I,444,14.0,0.8235294117647058,boltz_model_0,6.659569692211175,,
x01039-1,17,2O9I,444,14.0,0.8235294117647058,boltz_model_1,6.440439400991135,,
