rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
50,sandeepbii,2026-05-16 12:24 UTC,,0.4805433348454546,0.0360185591502526,0.6030787468567089,0.0281324169100218,0.4928866539278831,0.0482965186437377,0.7934352095045326,0.0238767379992932,0.5929206369749345,0.0240579646409651,No
51,abrahambrissetv2,2026-04-29 13:49 UTC,,0.4803635664094862,0.0279824370417272,0.6036431659674363,0.0308453060564144,0.5951673318592063,0.038525603631776,0.7880391889978032,0.0247772601931936,0.5892737785918655,0.0243444254172139,No
52,pxr3-v8,2026-05-14 16:59 UTC,,0.4812658486825994,0.0323221866512459,0.6043189037741483,0.028315191498482,0.5425058950873363,0.0385713144032188,0.8048293309378938,0.0235750006362471,0.6041977545962607,0.0241192095983868,No
53,ldbc1999,2026-05-15 13:46 UTC,https://github.com/lizyurkewych-git/pxr-challenge,0.4840402569169961,0.036700205565733,0.6073624220344233,0.0270819364352379,0.4808990075535534,0.0484566779197229,0.7973598673820779,0.0252250672442347,0.6029650802167577,0.0250084289624635,No
54,DenaliSchlesinger,2026-05-14 20:45 UTC,,0.4840939780748692,0.0337496380637016,0.6078980148699656,0.0313251945124243,0.5217459067871129,0.0493769628247488,0.7634340473688789,0.0299872312972101,0.571781909976364,0.0273508108726744,No
55,abrahambrissetv3,2026-05-15 08:47 UTC,,0.4848785423158103,0.0323211580794423,0.6088120443551316,0.0271903616250754,0.5447944125440577,0.0401072486361048,0.7716625237313239,0.0271432103414641,0.5736710903054668,0.0252657491106215,No
56,Gashaw,2026-05-16 05:30 UTC,,0.4856781991231544,0.0369512675333671,0.6094966193256275,0.0289668321711235,0.4728083180407598,0.0560955157888723,0.8054117708287709,0.0241485063555165,0.6133836747884945,0.0242454984007392,No
57,N1NC1O,2026-05-05 08:32 UTC,https://gist.github.com/dehaenw/f63f9c9bd42eacbddede706e90d8d8e9,0.4855740572447322,0.0347072284934307,0.6096616255467956,0.0311363032254208,0.5038064243369945,0.0522058545351308,0.7815712266595877,0.0266348384072274,0.5976523883435929,0.02633051610513,No
58,soriniX,2026-04-14 21:14 UTC,,0.4889812572505929,0.0286610135878294,0.6144469136972134,0.0310655186622687,0.5849251938317991,0.0352082829766161,0.8054652926892739,0.0236706187896604,0.6067589917490034,0.0240785141366926,No
59,zhou-shan-shui,2026-05-15 15:51 UTC,,0.4911838292630531,0.0322847263649975,0.6168285660422064,0.0287812570915085,0.537889738015863,0.0379530299378036,0.807020160663511,0.021795294782828,0.6052859400368567,0.0231882139920505,No
60,gfr,2026-04-25 06:40 UTC,,0.4928769379820174,0.0354341450092652,0.6187364860529625,0.0296638828548154,0.4822935922344499,0.0488072590285389,0.7920525810034336,0.0239511020566401,0.5911354889810838,0.0246154866811913,No
61,ola,2026-05-11 13:09 UTC,,0.4929925096441792,0.0357805931859637,0.6187886534775914,0.0285386222329206,0.4884081959587441,0.0469819708713674,0.7964823051735296,0.0238067744457966,0.5965872717305923,0.0243277565747218,No
62,ola,2026-05-11 13:14 UTC,,0.4929925096441792,0.0357805931859637,0.6187886534775914,0.0285386222329206,0.4884081959587441,0.0469819708713674,0.7964823051735296,0.0238067744457966,0.5965872717305923,0.0243277565747218,No
63,dumpling,2026-05-11 22:22 UTC,,0.4931235596031326,0.0357928001429934,0.6188583366624609,0.0264098374875553,0.4936430161810456,0.0428557295174383,0.796051975200835,0.0242557139896753,0.5977125026743079,0.0240390014874,No
64,sslash,2026-05-01 10:04 UTC,,0.4939696108553359,0.037390780912077,0.6198639203290351,0.0283579630750289,0.4593453754715673,0.0543825049956246,0.7840888340760629,0.0240351530930959,0.5838775563423738,0.024459447899012,No
65,kspacy8,2026-05-15 11:14 UTC,none,0.4946539457039526,0.0354856554537385,0.6209150698893544,0.0286241262487537,0.4979561888772076,0.0448069821446852,0.7750204922743454,0.0254360602552407,0.5750000321618842,0.0243774145419436,No
66,musecue,2026-05-15 19:24 UTC,,0.4941685392660079,0.0292618284557266,0.6210039003141518,0.0326778574788447,0.5656521096547574,0.0405842190134707,0.7807750009970509,0.0269412834824191,0.5860272223943859,0.0259376654733393,No
67,bvlv,2026-05-03 09:40 UTC,,0.4952572106316344,0.0335174025986834,0.6218869371312641,0.0296814508296728,0.5220298938070855,0.0462482855045668,0.7636475491509737,0.0290299217954393,0.5687398534850661,0.027061885661846,No
