rank,username,Submitted,model_report_link,Significance (tiers),MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
26,minhpham-2003,2026-06-30 18:36 UTC,https://docs.google.com/document/d/1ZBrHOIiTvByB6xTj3tELkHcsyPPAUNx5VQwQeDQmV30/edit?usp=sharing,Tier 1,0.4370077466774051,0.028724783164096,0.605721113353283,0.0262334164676984,0.5559681025463132,0.0548230497181171,0.8141500979668197,0.0256989337261555,0.6194163206873841,0.0227212197693176,No
27,jeremy,2026-05-29 13:24 UTC,https://github.com/jeremycheminf/openadmet_scripts/tree/main/PXR/2D,Tier 1,0.4379716651161539,0.0285475729103096,0.6073385227050931,0.0316422001790412,0.5504307259150458,0.0560408600809757,0.791621815397577,0.0297298618945593,0.6085005737503335,0.0260170771768782,No
28,sandeepbii,2026-06-28 09:02 UTC,https://github.com/spalgit/dockerimages/blob/main/QSARTuna/submission_report.pdf,Tier 1,0.4389006086403845,0.0290928989902587,0.6084561121762232,0.0293001890446941,0.5513662721466088,0.0556227806045921,0.795889243581964,0.0258956526792034,0.6015264178090822,0.0248524718805285,Yes
29,auP7s,2026-07-01 22:09 UTC,https://gist.github.com/chemotica/a49b002eda2f7fd5eef2dca4f98f8ad7,Tier 1,0.4392867661983289,0.0287463138978803,0.6092354529106088,0.0333384360995865,0.5516263815177365,0.0596048541490385,0.8075415617779594,0.0281311625653255,0.6298397626016853,0.0247302942361724,No
30,chempxr,2026-06-29 07:50 UTC,https://github.com/chem-ops/pxr,Tier 1,0.4392882958438461,0.0285396947651322,0.6092325031202767,0.0328494789273544,0.5618260891933421,0.0590242076629683,0.8062823812827459,0.0283070644945288,0.6147801009917656,0.0242823088882656,No
31,Uncertain-Tea,2026-06-28 16:59 UTC,https://github.com/un-certain-tea/OpenADMET-pxr-challenge,Tier 1,0.4403076437868574,0.0295734577377314,0.610633612798319,0.0342941118284325,0.5380515849364794,0.064938631832592,0.8013277336825329,0.0313872132394585,0.6147104536811705,0.02559925657333,No
32,objective-santi,2026-06-26 15:34 UTC,https://gist.github.com/Kaynier/9ceb7fff33e7b5bcd047fa0735fc2c34,Tier 1,0.4416665269816778,0.0289682181920514,0.6121955279394996,0.0267578709075482,0.5415939434637341,0.0565289125465841,0.8102992630030127,0.0282124864185866,0.6194758561190117,0.0240867162014469,No
33,PeterBloomingdale,2026-07-01 16:09 UTC,https://github.com/PeterBloomingdale/openadmet-pxr,Tier 1,0.4417704634397314,0.0296345526569154,0.6121857499977027,0.0246270594744813,0.5329375380977253,0.0546374669980554,0.8102456172977134,0.0281610562026464,0.6211127156067319,0.0245077586018352,No
34,sbot-v3,2026-07-01 22:53 UTC,https://docs.google.com/document/d/142LYrDf4aNl20LDqeIA0yOcktKh_tKvaKqvcH3Rsc5A/edit?usp=sharing,Tier 1,0.4427065746171055,0.0288171499658815,0.613651440291801,0.0266256704028741,0.5511822450942602,0.0528687158634256,0.8017154256175969,0.0282252804121726,0.6098993913116266,0.0252867654839551,No
35,Radi,2026-07-01 18:26 UTC,https://github.com/turkiAlturaifi/openadmet-pxr/blob/main/activity/model_retrained/final/MODEL_REPORT.md,Tier 1,0.4441865266991199,0.0291697199201703,0.6161006379907038,0.0350956427745469,0.5357305100676171,0.065515729266765,0.7704053090899312,0.0316935222940472,0.5809924750925518,0.0273210843978694,No
