variable,bin,model,n,value_min,value_max,mae,mean_residual,mean_pred,ensemble_mae,delta_mae_vs_ensemble
log2fc_3_30e_5,Q4,ensemble,464,1.3903190077350878,1.6318052634825873,0.2790082960461829,0.05099737423766144,4.993172884383028,0.2790082960461829,0.0
log2fc_3_30e_5,Q4,tabpfn_2d_seed10_default,464,1.3903190077350878,1.6318052634825873,0.28986350766543684,0.050445176650737895,4.993725081969952,0.2790082960461829,0.010855211619253957
log2fc_3_30e_5,Q4,tabpfn_2d_seed10_top500,464,1.3903190077350878,1.6318052634825873,0.27157641314227005,0.03931530050162611,5.004854958119063,0.2790082960461829,-0.007431882903912834
log2fc_3_30e_5,Q5,ensemble,464,1.632943479233708,4.239256659654055,0.2664095194582401,-0.028669756591958365,5.111234411764372,0.2664095194582401,0.0
log2fc_3_30e_5,Q5,tabpfn_2d_seed10_default,464,1.632943479233708,4.239256659654055,0.27956428207200146,-0.04554069749240217,5.128105352664816,0.2664095194582401,0.013154762613761362
log2fc_3_30e_5,Q5,tabpfn_2d_seed10_top500,464,1.632943479233708,4.239256659654055,0.2702013146877289,-0.052233514991299856,5.134798170163713,0.2664095194582401,0.0037917952294888035
log2fc_3_30e_5,missing,ensemble,1819,,,0.49573218132854996,-0.09960468650061999,3.7173636497864186,0.49573218132854996,0.0
log2fc_3_30e_5,missing,tabpfn_2d_seed10_default,1819,,,0.5082515015775158,-0.10362018271865864,3.721379146004457,0.49573218132854996,0.012519320248965793
log2fc_3_30e_5,missing,tabpfn_2d_seed10_top500,1819,,,0.5057103339161728,-0.06745504071176098,3.6852140039975594,0.49573218132854996,0.009978152587622857
log2fc_8_25e_6,Q1,ensemble,475,-1.1367185681707104,0.4870707102408467,0.43971112530951484,-0.0811002589352956,3.987542364198454,0.43971112530951484,0.0
log2fc_8_25e_6,Q1,tabpfn_2d_seed10_default,475,-1.1367185681707104,0.4870707102408467,0.4474478861357036,-0.08557116044697007,3.992013265710128,0.43971112530951484,0.007736760826188738
log2fc_8_25e_6,Q1,tabpfn_2d_seed10_top500,475,-1.1367185681707104,0.4870707102408467,0.4358409778594971,-0.01730183689719751,3.9237439421603555,0.43971112530951484,-0.0038701474500177357
log2fc_8_25e_6,Q2,ensemble,475,0.487738329799954,0.6873961121433726,0.2840841817953298,0.013283132826484145,4.695453709278779,0.2840841817953298,0.0
log2fc_8_25e_6,Q2,tabpfn_2d_seed10_default,475,0.487738329799954,0.6873961121433726,0.2866809324565686,0.009005153856779392,4.699731688248484,0.2840841817953298,0.0025967506612388225
log2fc_8_25e_6,Q2,tabpfn_2d_seed10_top500,475,0.487738329799954,0.6873961121433726,0.29001289719029477,0.028890475524099242,4.679846366581164,0.2840841817953298,0.0059287153949649785
log2fc_8_25e_6,Q3,ensemble,474,0.6877510446516065,0.9039584031136192,0.2914971455042758,0.008207454911992013,4.880864275045814,0.2914971455042758,0.0
log2fc_8_25e_6,Q3,tabpfn_2d_seed10_default,474,0.6877510446516065,0.9039584031136192,0.29848741340234813,0.005118126949680509,4.883953603008125,0.2914971455042758,0.006990267898072333
log2fc_8_25e_6,Q3,tabpfn_2d_seed10_top500,474,0.6877510446516065,0.9039584031136192,0.29696345019441117,0.009615916079106716,4.879455813878699,0.2914971455042758,0.005466304690135371
log2fc_8_25e_6,Q4,ensemble,475,0.9050363480978004,1.17417498880606,0.30643702554001034,0.12980473365895795,5.079153161077885,0.30643702554001034,0.0
log2fc_8_25e_6,Q4,tabpfn_2d_seed10_default,475,0.9050363480978004,1.17417498880606,0.32288105812072754,0.1322839227576005,5.0766739719792415,0.30643702554001034,0.016444032580717194
log2fc_8_25e_6,Q4,tabpfn_2d_seed10_top500,475,0.9050363480978004,1.17417498880606,0.2969513155284681,0.08444607710587353,5.124511817630968,0.30643702554001034,-0.009485710011542248
log2fc_8_25e_6,Q5,ensemble,475,1.175343490068012,3.9182277227356246,0.3221205831942902,0.1581401240973068,5.278333560113219,0.3221205831942902,0.0
log2fc_8_25e_6,Q5,tabpfn_2d_seed10_default,475,1.175343490068012,3.9182277227356246,0.33695544479771666,0.16593198665819667,5.270541697552329,0.3221205831942902,0.014834861603426452
log2fc_8_25e_6,Q5,tabpfn_2d_seed10_top500,475,1.175343490068012,3.9182277227356246,0.29941081964593186,0.07930044013575505,5.3571732440747715,0.3221205831942902,-0.022709763548358353
log2fc_8_25e_6,missing,ensemble,1766,,,0.48285643239638926,-0.09004190182378802,3.726485024256895,0.48285643239638926,0.0
log2fc_8_25e_6,missing,tabpfn_2d_seed10_default,1766,,,0.4957654209485308,-0.09490854165210809,3.7313516640852153,0.48285643239638926,0.012908988552141565
log2fc_8_25e_6,missing,tabpfn_2d_seed10_top500,1766,,,0.49476985221082254,-0.06048270397979782,3.696925826412905,0.48285643239638926,0.01191341981443328
logp,Q1,ensemble,828,-5.397200107574463,1.8942999839782715,0.4288489160845625,-0.025754659963025235,3.23239717204032,0.4288489160845625,0.0
logp,Q1,tabpfn_2d_seed10_default,828,-5.397200107574463,1.8942999839782715,0.44248164525930433,-0.02669856473443588,3.2333410768117306,0.4288489160845625,0.013632729174741842
logp,Q1,tabpfn_2d_seed10_top500,828,-5.397200107574463,1.8942999839782715,0.4339080611864725,0.0002255760529191039,3.2064169360243757,0.4288489160845625,0.005059145101910023
logp,Q2,ensemble,828,1.8956999778747559,2.643399953842163,0.4005592652606694,-0.01736231505865209,4.263231880276043,0.4005592652606694,0.0
logp,Q2,tabpfn_2d_seed10_default,828,1.8956999778747559,2.643399953842163,0.40795402288436894,-0.01788581531404872,4.26375538053144,0.4005592652606694,0.007394757623699566
logp,Q2,tabpfn_2d_seed10_top500,828,1.8956999778747559,2.643399953842163,0.40470096185011567,-0.011011376380920413,4.256880941598312,0.4005592652606694,0.004141696589446298
logp,Q3,ensemble,828,2.6435000896453857,3.176340103149414,0.3664709204483992,0.013668129044102409,4.626259407187781,0.3664709204483992,0.0
logp,Q3,tabpfn_2d_seed10_default,828,2.6435000896453857,3.176340103149414,0.37837260128795236,0.010417951892539502,4.629509584339345,0.3664709204483992,0.011901680839553175
logp,Q3,tabpfn_2d_seed10_top500,828,2.6435000896453857,3.176340103149414,0.3716700975215377,0.01733571130872349,4.622591824923161,0.3664709204483992,0.0051991770731384945
logp,Q4,ensemble,828,3.177000045776367,3.7203800678253174,0.3716773471064161,0.002480871503289906,4.734560191298643,0.3716773471064161,0.0
logp,Q4,tabpfn_2d_seed10_default,828,3.177000045776367,3.7203800678253174,0.384734611361499,-0.0033875982888078924,4.74042866109074,0.3716773471064161,0.013057264255082912
logp,Q4,tabpfn_2d_seed10_top500,828,3.177000045776367,3.7203800678253174,0.362339066353397,0.0038229785909975186,4.733218084210935,0.3716773471064161,-0.009338280753019068
logp,Q5,ensemble,828,3.723299980163574,10.812700271606445,0.40498188637126203,-0.03409844154018976,4.808686067405971,0.40498188637126203,0.0
logp,Q5,tabpfn_2d_seed10_default,828,3.723299980163574,10.812700271606445,0.4144019200105092,-0.0347875056099707,4.809375131475752,0.40498188637126203,0.00942003363924715
logp,Q5,tabpfn_2d_seed10_top500,828,3.723299980163574,10.812700271606445,0.41117026629252834,-0.03328389436552947,4.807871520231312,0.40498188637126203,0.006188379921266307
