rank,global_feature_idx,feature,family,lgbm_gain,gain_share_pct
140,824,mordred__GATS1c,mordred,21.599040782777593,0.04044622335579476
141,1666,mordred__PEOE_VSA10,mordred,21.559734898328315,0.04037261941210017
142,2087,boltz_tier1__pde_intra_ligand_max,boltz_tier1_conf,21.429289164196234,0.040128347578384134
143,84,chemeleon_084,chemeleon,21.42317830247339,0.040116904418448264
144,811,mordred__ATSC8m,mordred,21.308171856799163,0.03990154409592853
145,261,chemeleon_261,chemeleon,21.296178607910406,0.03987908561602682
146,127,chemeleon_127,chemeleon,21.261073403962655,0.039813347839331034
147,193,chemeleon_193,chemeleon,21.09018894142355,0.03949335070568967
148,1440,mordred__BalabanJ,mordred,20.972076729376568,0.03927217454525071
149,1052,mordred__AATS6dv,mordred,20.87643503502477,0.03909307653016831
150,140,chemeleon_140,chemeleon,20.698091857833788,0.03875911225595849
151,36,chemeleon_036,chemeleon,20.604694350622594,0.03858421669112626
152,1087,mordred__AATSC3d,mordred,20.54058365736273,0.0384641634237075
153,1064,mordred__AATSC0i,mordred,20.502034445060417,0.038391976419356245
154,1737,mordred__VSA_EState7,mordred,20.39823667384917,0.038197605387768986
155,132,chemeleon_132,chemeleon,20.233277551538777,0.03788870400771965
156,74,chemeleon_074,chemeleon,20.22095747780986,0.03786563351774692
157,541,mordred__MWC06,mordred,20.19972143508494,0.03782586704219444
158,76,chemeleon_076,chemeleon,20.191989515704336,0.03781138830022705
159,184,chemeleon_184,chemeleon,20.03936702082865,0.037525588408512285
160,772,mordred__ATSC3p,mordred,19.97521344854613,0.03740545484611446
161,2055,boltz_tier0__ensemble_diff_affinity,boltz_tier0,19.893699865904637,0.03725281304117479
162,1651,mordred__AETA_dBeta,mordred,19.889288545935415,0.03724455243207814
163,170,chemeleon_170,chemeleon,19.650302550406195,0.03679702881048337
164,299,chemeleon_299,chemeleon,19.58263708994491,0.036670318909112556
165,1186,mordred__GATS3dv,mordred,19.49472062382847,0.036505687106202445
166,1584,mordred__PEOE_VSA2,mordred,19.470891291013686,0.03646106445248651
167,130,chemeleon_130,chemeleon,19.3298903767718,0.036197027057115416
168,151,chemeleon_151,chemeleon,18.96004036141676,0.03550444832273375
169,161,chemeleon_161,chemeleon,18.93047634564573,0.03544908693899477
170,2066,boltz_tier1__plddt_ligand_p10,boltz_tier1_conf,18.808424920222024,0.03522053423319514
171,213,chemeleon_213,chemeleon,18.715001439210027,0.03504559002999238
172,98,chemeleon_098,chemeleon,18.48010883620009,0.034605731668618314
173,2005,rdkit__FpDensityMorgan3,rdkit_full,18.478622229391476,0.034602947858372854
174,1390,mordred__AATSC1dv,mordred,18.463763351930538,0.03457512322103615
175,702,mordred__AATS7s,mordred,18.40700054174522,0.034468829551694655
176,189,chemeleon_189,chemeleon,18.383702406310476,0.0344252016147393
177,790,mordred__ATSC5v,mordred,18.329166105919285,0.03432307729316388
178,682,mordred__AATS4v,mordred,18.30372161453124,0.034275430104003704
179,892,mordred__MATS1p,mordred,18.22469629024272,0.034127447795479784
180,1716,mordred__EState_VSA9,mordred,18.1942360457615,0.03407040813968443
