global_feature_idx,feature,family,lgbm_gain
1559,mordred_1259,mordred,9.9110332550772
763,mordred_463,mordred,9.831441418966278
18,chemeleon_18,chemeleon,9.789705172821414
817,mordred_517,mordred,9.776685285469284
1443,mordred_1143,mordred,9.761158818524564
1732,mordred_1432,mordred,9.703560113877757
1181,mordred_881,mordred,9.700461743283086
1104,mordred_804,mordred,9.67681061354233
1088,mordred_788,mordred,9.666422935086302
909,mordred_609,mordred,9.654826536076143
2011,rdkit_190,rdkit,9.63685384040582
353,mordred_53,mordred,9.634588406508556
1211,mordred_911,mordred,9.615056490612915
634,mordred_334,mordred,9.586136140103918
1194,mordred_894,mordred,9.57497518369928
1233,mordred_933,mordred,9.569681650333223
825,mordred_525,mordred,9.546492916473653
73,chemeleon_73,chemeleon,9.519726193218958
749,mordred_449,mordred,9.49291702057235
205,chemeleon_205,chemeleon,9.468423825397622
1822,rdkit_1,rdkit,9.467308960389346
294,chemeleon_294,chemeleon,9.461164813284995
818,mordred_518,mordred,9.456609497894533
524,mordred_224,mordred,9.450944613054162
802,mordred_502,mordred,9.43110793462256
1199,mordred_899,mordred,9.405606144864578
1070,mordred_770,mordred,9.382625263533555
255,chemeleon_255,chemeleon,9.375293489196338
375,mordred_75,mordred,9.348155914107338
174,chemeleon_174,chemeleon,9.305717246606946
137,chemeleon_137,chemeleon,9.288791617844254
739,mordred_439,mordred,9.28215432568686
236,chemeleon_236,chemeleon,9.279574426822364
24,chemeleon_24,chemeleon,9.277881819056347
1246,mordred_946,mordred,9.223786282731453
2071,boltz_tier1_14,boltz_tier1,9.209719449689146
2045,boltz_tier0_7,boltz_tier0,9.173635469167493
1650,mordred_1350,mordred,9.162216513301246
943,mordred_643,mordred,9.139777290256461
926,mordred_626,mordred,9.137962331471499
856,mordred_556,mordred,9.137217267678352
195,chemeleon_195,chemeleon,9.127290327218361
23,chemeleon_23,chemeleon,9.114192579057999
1759,mordred_1459,mordred,9.110368487774394
919,mordred_619,mordred,9.103968467039522
1897,rdkit_76,rdkit,9.10077314035152
1195,mordred_895,mordred,9.086256766575389
