compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,rocs_inplace_shape,rocs_inplace_color,rocs_inplace_combo,rocs_best_shape,rocs_best_color,rocs_best_combo,skipped,error
x00242-1,12,6HTY,GRH,9.0,0.75,boltz_model_3,3.895075328783899,0.1556776911020279,0.015448949299752712,0.1711266404017806,0.4047914743423462,0.15372487902641296,0.5585163533687592,,
x00242-1,12,6HTY,GRH,9.0,0.75,boltz_model_4,3.504168626664334,0.2267570048570633,0.0056706080213189125,0.2324276128783822,0.3260688781738281,0.16731706261634827,0.4933859407901764,,
x00242-1,12,6HTY,GRH,9.0,0.75,gnina_refined,3.751899993097963,0.20257383584976196,0.016716374084353447,0.2192902099341154,0.41587793827056885,0.16683974862098694,0.5827176868915558,,
x00242-1,12,6HTY,GRH,9.0,0.75,template_transferred,0.030169447008171618,0.3560982346534729,0.16690953075885773,0.5230077654123306,0.44003722071647644,0.07683133333921432,0.5168685540556908,,
x00252-1,11,,,,,,,,,,,,,mcs_below_threshold,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_0,6.922997756345207,0.18519030511379242,0.0022900556214153767,0.1874803607352078,0.21792583167552948,0.08844445645809174,0.3063702881336212,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_1,6.758557232044931,0.19336001574993134,0.020550858229398727,0.21391087397933006,0.21625974774360657,0.07155478745698929,0.28781453520059586,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_2,6.966797174266643,0.1922820508480072,0.02027224563062191,0.2125542964786291,0.2094631940126419,0.09988252073526382,0.30934571474790573,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_3,9.06303828609368,0.10082492977380753,7.174369238782674e-05,0.10089667346619535,0.21954132616519928,0.1004297211766243,0.3199710473418236,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_4,6.014510668058867,0.16756506264209747,0.023996014147996902,0.19156107679009438,0.19317059218883514,0.10043264180421829,0.29360323399305344,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,gnina_refined,6.820278316375111,0.16176238656044006,0.022139765322208405,0.18390215188264847,0.16563093662261963,0.1381397396326065,0.30377067625522614,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,template_transferred,0.0845376243917,0.2235013097524643,0.3096747100353241,0.5331760197877884,0.19667333364486694,0.10532033443450928,0.3019936680793762,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_0,5.9949636943719655,0.2424967885017395,0.04059162735939026,0.28308841586112976,0.4612785279750824,0.09072407335042953,0.5520026013255119,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_1,4.446191646112946,0.3375823497772217,0.06308172643184662,0.4006640762090683,0.48042041063308716,0.09073138236999512,0.5711517930030823,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_2,3.8976449555717734,0.3004668951034546,0.02617241069674492,0.3266393058001995,0.4114687442779541,0.11703816056251526,0.5285069048404694,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_3,4.241832333623296,0.34705042839050293,0.07298741489648819,0.4200378432869911,0.479542076587677,0.09076432138681412,0.5703063979744911,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_4,5.0545777745721185,0.3125332295894623,0.061353735625743866,0.37388696521520615,0.49948903918266296,0.0911317840218544,0.5906208232045174,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,gnina_refined,5.249669865789925,0.24001695215702057,0.04975423589348793,0.2897711880505085,0.39162737131118774,0.22705745697021484,0.6186848282814026,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,template_transferred,0.013047210519933579,0.2855566740036011,0.090824656188488,0.3763813301920891,0.27692872285842896,0.3292122781276703,0.6061410009860992,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_0,9.85139328398457,0.07493211328983307,0.00476859649643302,0.07970070978626609,0.36867445707321167,0.2709556818008423,0.639630138874054,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_1,9.994654970294395,0.05124020576477051,0.0008642963948659599,0.05210450215963647,0.3647887408733368,0.2708168029785156,0.6356055438518524,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_2,9.97272415133918,0.09229474514722824,0.007156417239457369,0.09945116238668561,0.3232559263706207,0.3140741288661957,0.6373300552368164,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_3,10.85410621780419,0.14563637971878052,5.454881488731189e-07,0.1456369252069294,0.2238902598619461,0.3026699423789978,0.5265602022409439,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_4,9.916030476637646,0.05594814196228981,0.0015363426646217704,0.05748448462691158,0.32318806648254395,0.31398776173591614,0.6371758282184601,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,gnina_refined,9.952699056508646,0.06552191823720932,0.006763353943824768,0.07228527218103409,0.33469679951667786,0.3137202560901642,0.648417055606842,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,template_transferred,0.05263303510409732,0.26651817560195923,0.14444880187511444,0.41096697747707367,0.44879797101020813,0.37860924005508423,0.8274072110652924,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_0,4.651222582868237,0.24524110555648804,0.003587214509025216,0.24882832006551325,0.39687877893447876,0.144097700715065,0.5409764796495438,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_1,4.6802593192273925,0.25738659501075745,0.0046254731714725494,0.26201206818223,0.39635515213012695,0.14414261281490326,0.5404977649450302,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_2,4.629255519187408,0.25079214572906494,0.00405693706125021,0.25484908279031515,0.39549317955970764,0.14327888190746307,0.5387720614671707,,
