variable,bin,n,value_min,value_max,mae,mean_residual,mean_pec50,mean_pred,mean_member_std
counter_emax,Q4,488,1.59,1.65,0.3204615738903966,0.027743579242595042,4.808555327868852,4.780811748626258,0.1843909730313238
counter_emax,Q5,520,1.66,5.92,0.37450883335378116,0.02079020090179728,4.476384615384616,4.4555944144828175,0.2251180083518175
counter_emax,missing,1492,,,0.4440475478226983,-0.08836316034340065,3.5805017119416003,3.668864872285001,0.21335267597280422
log2fc_8_25e_6,Q1,475,-1.1367185681707104,0.4870707102408467,0.4466990178604789,-0.09430592585891606,3.9064421052631584,4.0007480311220736,0.23939645845982427
log2fc_8_25e_6,Q2,475,0.487738329799954,0.6873961121433726,0.2848941477159121,0.01168226447663399,4.708736842105264,4.697054577628629,0.18193278160457355
log2fc_8_25e_6,Q3,474,0.6877510446516065,0.9039584031136192,0.2920672249495141,0.010324493165653289,4.889071729957806,4.878747236792153,0.1692395676395447
log2fc_8_25e_6,Q4,475,0.9050363480978004,1.17417498880606,0.31142264315586166,0.14040160588657746,5.208957894736843,5.068556288850265,0.1704771597224653
log2fc_8_25e_6,Q5,475,1.175343490068012,3.9182277227356246,0.3307444955125536,0.1750785826742499,5.436473684210527,5.2613951015362765,0.1869261278204459
log2fc_8_25e_6,missing,1766,,,0.48299692084821344,-0.09684981909894852,3.6364431224331075,3.7332929415320555,0.2266146786433694
log2fc_3_30e_5,Q1,465,-0.8192832724402411,1.0905758579850957,0.4464559375701911,0.07156390055386541,4.395032258064516,4.3234683575106505,0.21930065162599893
log2fc_3_30e_5,Q2,464,1.0907645320850403,1.2393947333518087,0.2959139964321724,0.10133993957217913,4.865043103448276,4.763703163876096,0.18230828777857475
log2fc_3_30e_5,Q3,464,1.2394669721209888,1.3899758205133028,0.3014168938318942,0.09331411863335184,4.973254310344828,4.8799401917114755,0.1764047938325073
log2fc_3_30e_5,Q4,464,1.3903190077350878,1.6318052634825873,0.2829055309199872,0.056697631725049456,5.04417025862069,4.987472626895641,0.1713589252535017
log2fc_3_30e_5,Q5,464,1.632943479233708,4.239256659654055,0.26907983495917137,-0.022143834697779,5.082564655172414,5.104708489870193,0.17968451817232178
log2fc_3_30e_5,missing,1819,,,0.4964616918854878,-0.1072928966157129,3.617758963285798,3.7250518599015114,0.23035579853523513
