name,oof_mae,oof_spearman,as1_mae,as1_bias,as1_spearman
ens_v8_top8_avg,0.4909,0.7521,0.5250055228957523,-0.007047540956983908,0.7644330228692432
chemprop_chemeleon_umap,0.5493,0.7186,0.48999205750439007,0.07036871530321748,0.776319755446767
gin_optuna_umap,0.5712,0.681,0.5667967965197658,0.09748888008208141,0.6998344372171243
gatedgcn_optuna_umap,0.5463,0.6965,0.5653954451263188,0.15094387910111617,0.7071909323024287
graphgps_optuna_umap,0.5714,0.6642,0.5807965962029258,0.08539630803194916,0.6980478333741961
lgbm_mordred_jazzy_umap_drop32,0.5198,0.7039,0.5703572529361726,-0.060785757052979,0.716491445865213
lgbm_chemeleon_umap_drop32,0.5578,0.6748,0.5919948467103474,-0.010298341792310074,0.6723002858311101
lgbm_chemberta_5m_mtr_umap_drop32,0.5652,0.6475,0.5932308700049043,0.004935219872280283,0.6465372311189229
lgbm_molformer_xl_umap_drop32,0.5865,0.6455,0.6230112712741549,0.012559305130735273,0.6324618850932483
lgbm_count_morgan_r2_2048_umap_drop32,0.571,0.661,0.557219001013428,0.052036241819864965,0.6854192795781918
lgbm_count_atompair_2048_umap_drop32,0.566,0.6628,0.5852637763980302,0.03416311668454383,0.658523143080482
lgbm_count_morgan_r3_2048_umap_drop32,0.5768,0.6532,0.5717709935279931,0.045807960801831124,0.6561000009615844
lgbm_avalon_2048_umap_drop32,0.5945,0.6304,0.561194629751894,0.16520738265537602,0.6802017432909874
lgbm_morgan_r2_2048_umap_drop32,0.5952,0.6465,0.612954029108947,0.17868349376538026,0.6011065312154817
lgbm_atompair_2048_umap_drop32,0.5983,0.6293,0.6177579784708928,0.004818347794991977,0.6210185348475612
lgbm_feat_morgan_r2_2048_umap_drop32,0.6096,0.6205,0.5902505341408333,0.026086210358749494,0.6400895602874047
lgbm_rdkit_desc_umap_drop32,0.5775,0.6286,0.6723756569718301,-0.15134236249999072,0.5997216720958352
lgbm_rdkit_desc_umap_default,0.5766,0.643,0.662637026083301,-0.11924345145530389,0.5931090506900373
lgbm_rdkit_desc_full_umap_default,0.5388,0.6948,0.5897893185584656,-0.08027077993032611,0.6779157499214086
lgbm_rdkit_desc_full_umap,0.5355,0.696,0.5894200794597172,-0.09513888480894268,0.6834886052514545
lgbm_rdkit_desc_full_umap_gap1.0,0.5589,0.6719,0.7876802356273773,-0.262544562380007,0.5537527508410294
lgbm_rdkit_desc_full_analog_default,0.4942,0.6473,0.5890522809818578,-0.07897717844073658,0.6786312065826889
lgbm_mordred_jazzy_analog_default,0.4671,0.6658,0.5714001963617832,-0.07865255693906954,0.7162339407012017
lgbm_rdkit_desc_full_scaffold_default,0.5249,0.7117,0.5897893185584656,-0.08027077993032611,0.6779157499214086
lgbm_mordred_jazzy_scaffold_default,0.5091,0.7302,0.5729245989561851,-0.08230821913668375,0.7166592873606046
lgbm_mordred_jazzy_analog,0.4639,0.6657,0.5795985298518109,-0.08559490294381002,0.7230346706082915
lgbm_rdkit_desc_full_umap_s0_default,0.5457,0.6828,0.5921125767081536,-0.08228130772570412,0.6763640500263063
lgbm_mordred_jazzy_umap_s0_default,0.5337,0.7051,0.5744918990030556,-0.08525833456351344,0.7165577673391095
lgbm_mordred_jazzy_umap_s1_default,0.5272,0.6942,0.5811400227716094,-0.09744253918538119,0.714926407285668
lgbm_mordred_jazzy_umap_s2_default,0.5254,0.7047,0.5739919969182246,-0.08393488190200545,0.7160764735145762
lgbm_mordred_jazzy_umap_s3_default,0.5261,0.7099,0.5739143884519765,-0.08379835534603737,0.7171231671668522
lgbm_mordred_jazzy_umap_chemberta_5m_mtr_default,0.5245,0.7086,0.5727764156531968,-0.08217939715090324,0.7170312804320684
lgbm_mordred_jazzy_umap_molformer_xl_default,0.5298,0.7067,0.5747728087140095,-0.08576759435566814,0.7162969275758521
lgbm_mordred_jazzy_umap_mordred_default,0.5151,0.722,0.5720423917445181,-0.08091929759187885,0.7167326485440206
lgbm_mordred_jazzy_umap_morgan_mordred_default,0.5285,0.7113,0.5740445016931305,-0.08383857035639054,0.7163543567850919
lgbm_mordred_jazzy_umap_k25_default,0.5276,0.6835,0.5773864828398378,-0.09068334281220197,0.7167430228527867
lgbm_mordred_jazzy_umap_k75_default,0.527,0.7087,0.5747437310643257,-0.08554746300839824,0.7162328291681197
lgbm_mordred_jazzy_umap_k100_default,0.5271,0.7107,0.577887428109772,-0.09186626861918562,0.7162476496092138
lgbm_mordred_jazzy_umap_k150_default,0.5244,0.7074,0.5740445016931305,-0.08383857035639054,0.7163543567850919
tabpfn_mordred_jazzy_umap_default,0.4994,0.7314,0.5151884743083004,0.04581142529644266,0.7661192182423593
tabpfn_mordred_jazzy_umap,0.4961,0.7321,0.5121158106719368,0.05365278932806321,0.7671373823569105
tabpfn_chemeleon_umap,0.5117,0.7185,0.535372433992095,0.12284366086956519,0.7100216360270182
tabpfn_mordred_jazzy_umap_v2_5,0.4973,0.7323,0.5367996268774703,0.013137960474308282,0.7566378428088192
lgbm_mordred_jazzy_mixed_default,0.5095,0.7306,0.5732985024982529,-0.0826681513298702,0.7167437638748414
lgbm_rdkit_desc_full_mixed_default,0.5247,0.711,0.5812838466848065,-0.06793257423898336,0.6850488268986072
lgbm_morgan_r2_2048_mixed_default,0.567,0.6914,0.61458833480162,0.24249200382313935,0.6074004020371507
lgbm_mordred_jazzy_mixed,0.5061,0.735,0.5556746175254724,-0.037618123644979955,0.7169542141383786
lgbm_rdkit_desc_full_mixed,0.5185,0.7174,0.6088412764809519,-0.09914553843104754,0.6691550183025707
lgbm_morgan_r2_2048_mixed,0.5651,0.6952,0.6153906554820903,0.17508927354278872,0.6070143295466475
lgbm_mordred_jazzy_mixed_s0_default,0.5131,0.7288,0.5825283440889322,-0.10044670824237607,0.7154743930951253
lgbm_rdkit_desc_full_mixed_s0_default,0.523,0.7141,0.5832846271377393,-0.07004264183252622,0.6836649684678032
lgbm_morgan_r2_2048_mixed_s0_default,0.5718,0.6872,0.6152060402379564,0.24115725974332025,0.6069895053078147
lgbm_mordred_jazzy_mixed_s1_default,0.5103,0.7317,0.5735953016580464,-0.08356327458167592,0.7169675525353635
lgbm_rdkit_desc_full_mixed_s1_default,0.5219,0.7124,0.5803443800503045,-0.0669913462350347,0.6857068543612868
lgbm_morgan_r2_2048_mixed_s1_default,0.5704,0.6853,0.6151695578426066,0.22788506014440202,0.6014207245666783
lgbm_mordred_jazzy_mixed_s2_default,0.5102,0.7312,0.575219851243638,-0.08806892135711561,0.7176196519435071
lgbm_rdkit_desc_full_mixed_s2_default,0.523,0.713,0.5759087376842883,-0.058371563266537786,0.6878183963150086
